,app_name,user_id,user_name,date,country,version,score,topic,review,url,review_id,category_final,sentiment_final,req_final
9323,Instagram,30740755,MegaRam10,2017-06-09 0:00:00,United States,10.24,3,Love it and hate it,"Like so many others, I hate the ads and wish the chronological order was back.",https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=30740755,9476,requirement,negative,functional
6299,Instagram,129394897,carla the cool,2017-06-22 0:00:00,United States,10.26,3,Instagram,"I like this app; but lately your updates are making me lose interest.
1). Get rid of The PORNO CRAP I'm sick of it!

2). Need to be able to post pics not just one at a time, 
Too time consuming.

3). Why can't I post videos?  This app is becoming a sad bore.

I love meeting people from around the world; but hate the limitations of sharing and communication.

No ads I'm sick of it!   Need more policing of accounts too many trolls pretending to be someone else and begging for money.",https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=129394897,6452,requirement,negative,functional
10796,Instagram,395499782,kensakun289,2017-06-03 0:00:00,United States,10.23,3,It's a bit annoying,"Now the newsfeed is filled with ads, like lots of ads and it's a bit annoying. Is Instagram recently becoming the 2nd Facebook? 
Can you guys reduce the amount of ads? Like I'm okay with ad but with just fewer ads only ...",https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=395499782,10949,requirement,neutral,non-functional
1101,Instagram,356751272,Tjalise,2017-06-25 0:00:00,Canada,10.25,3,Fix the home page!!,Instagram is a great app but the main problem i have is that the posts are not in chronological order on the home page. It just makes no sense to me. I dont want to see a post from 4 days ago that ive already liked when there is other content im missing because of instas selective feature. It makes me feel like i am missing out on a lot of posts and i hate that so much. Everyone hated that feature when it first came out and i know a lot of people still really dont like it... i just dont understand why instagram chooses to disappoint and frustrate their users!! That said the new updates have been really fun. I like the fact that we can save posts in our archive and we dont have to like them to archive them anymore. Also i feel like theyre copying snapchat a lot. At least snapchat displays posts properly haha.,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=356751272,1246,requirement,negative,functional
12062,Instagram,515042511,@texastequilaa on Twitter ;),2017-05-28 0:00:00,United States,10.22,3,it was better before the update,"every since y'all made me update, my group chats have been glitching soooo much. whenever i try to send a picture, it either looks like i've sent 2 pictures at once. or it shows a completely different picture than what i actually sent. please fix this ! i really think the filters on the stories was a little unnecessary. before y'all add new things to the app please fix all glitches and bugs first. also, when i get a notification (i.e. someone liking me post) it shows me on time but then like a few hours later it shows me the same notification. and i'm the only one experiencing this, my friends have told me the same things happen to them. please fix it !!",https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=515042511,12215,bug report,neutral,
43190,Instagram,308845286,Lozza18281,2017-06-03 0:00:00,United Kingdom,10.23,3,"Used to be great, now it's annoying!","I love Instagram, always have but I'm so fed up with getting notifications hours after I've already seen them, then you go into the app and it doesn't even show the notification anyway! Sort it out will you!! Oh and this clumping everyone's likes together, why?! That's slightly annoying too!!! Go back to the way it used to be! If it ain't broke and all that!!!!!",https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=308845286,43573,bug report,negative,
7187,Instagram,120137346,Dawei96,2017-06-18 0:00:00,United States,10.25,3,Instagram listen to your customers,"I'm not trying to bash Instagram and by all means I love the app. I don't think I need say much considering the fact that you get a lot of the same complaints every day. But one thing I will ask Instagram is that why don't you listen to your customers??  It's simple as that. People for months and months have complained about your algorithm story line, saying how it's not something they enjoy and they want to have an option to turn their story to chronological or algorithm. Is it that hard to have it as an option? Seriously you're in the top 10 apps in the App Store and android store. At least try to make your customers a little happier. That's all I'm asking for, listen to us. Thank you.",https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=120137346,7340,requirement,negative,functional
47317,Instagram,507171007,Waiting for help SOS,2017-05-24 0:00:00,Hong Kong,10.22,3,Bug in enlarged photo,"Found bugs:

- the horizontal photo saved in draft is reshaped (narrow-ed) as square 

- when selecting multi photos for a post, the enlarged photo is ENLARGED in an unexpected size after posting it â˜¹ï¸",https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=507171007,47700,bug report,neutral,
4895,Instagram,370248781,erinllef ï¿½ï¿½ï¿½,2017-06-28 0:00:00,United States,10.27,3,ï¿½,"Chronological order please? Also, picture quality needs to be wayyy better (fix this asap).  follow me @erinllef ðŸ˜‡âœ¨",https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=370248781,5048,requirement,neutral,functional
39652,Instagram,319535348,Hvjvjgvjgv,2017-06-04 0:00:00,Australia,10.23,3,unable to unblock users,please fix the bug where you can't unblock people,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=319535348,39951,bug report,neutral,
43299,Instagram,500265957,Potato power92,2017-05-31 0:00:00,United Kingdom,10.22,3,"Good, but they could stop copying Snapchat","I love using Instagram and it is my favorite social media. But why do they keep copying Snapchat? First stories and now face filters. Other than that, 10/10",https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=500265957,43682,other,positive,
17307,Instagram,368974236,Rosa.e.g20,2017-05-04 0:00:00,United States,10.19,3,CC instagram Now,"Hello, I'm full deaf. I can't talk and hear. I feel like mute other people can talk about video. I don't understand what them say. I was confuse. Can you fix it chance for one thing with subtitles English and, Closed Captioning please. Thank you!",https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=368974236,17460,requirement,neutral,functional
11259,Instagram,333808178,GamzeeIndigo,2017-06-01 0:00:00,United States,10.23,3,usernames.,"some usernames are super good, but they're users have been inactive for AGES, since like 2013. can we somehow get rid of them so other people can get to them? it bugs me so badðŸ™„",https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=333808178,11412,requirement,neutral,functional
17045,Instagram,299653072,Annynon,2017-05-06 0:00:00,United States,10.19,3,Change like notifications,Please stop condensing the like notifications! I enjoy seeing the newest friends and family who liked my post. I don't care about the number! I hate that it gives you a fraction of a second and then just switches over to how many likes you have. Please change it back!!! Also please go back to chronological post order!!,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=299653072,17198,requirement,negative,functional
43992,Instagram,19287711,Spani,2017-05-10 0:00:00,United Kingdom,10.2,3,Changes,Love Instagram for so many reasons. However currently my feed is all out of sorts...not very helpful.,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=19287711,44375,other,positive,
42418,Instagram,270618286,s0s036,2017-06-28 0:00:00,United Kingdom,10.27,3,Ehhh,Cant add more than an account and it should be more secure,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=270618286,42801,requirement,neutral,non-functional
14268,Instagram,407192954,Raven RaeAnn Smith,2017-05-18 0:00:00,United States,10.21,3,Please give us what we want,"Instagram, we don't want new things happening to the stories. We just want chronological order on our feed. I'm sure you spent a lot of time on the algorithm that you have for whatever the heck is going on right now but I just want to see my posts in order PLEASEðŸ™ðŸ¼ðŸ™ðŸ¼",https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=407192954,14421,requirement,negative,functional
12361,Instagram,505138145,Skittles1123,2017-05-27 0:00:00,United States,10.22,3,I love it but hate it,The thing we're you can't unblock them cause you can't see their profile kinda pisses me off,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=505138145,12514,requirement,negative,functional
13373,Instagram,134224051,Asdfghjklzxcvbnnqwerrty,2017-05-22 0:00:00,United States,10.22,3,Stop trying to be Snapchat,Just stop.,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=134224051,13526,other,negative,
13077,Instagram,222495734,L'lpuppy300,2017-05-24 0:00:00,United States,10.22,3,The Next Update? Please Don't,"It's a pretty good app and I use it a lot, but with the new updates, Instagram constantly crashes whenever I try to send videos to my DMs. I cannot send any videos, and sometimes pictures, saved into my device. This is seriously annoying. Please fix the crashes.",https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=222495734,13230,bug report,negative,
8720,Instagram,518546270,ariandodudongo,2017-06-11 0:00:00,United States,10.25,3,Instagram Stories/DMs,"Make the pictures adjustable in time OR longer than only 5 seconds. Some people write absolute paragraphs, and I can't read that fast. Please, I'm begging you, be a bro and make them longer than 5 seconds.",https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=518546270,8873,requirement,neutral,non-functional
44215,Instagram,567517650,yAZas,2017-05-01 0:00:00,United Kingdom,10.19,3,Instamoments not updating,Instamoments not updating,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=567517650,44598,bug report,neutral,
1677,Instagram,190156028,Highball70,2017-06-04 0:00:00,Canada,10.23,3,Fun app,"Albeit it would be useful to create groups like Facebook, it's still a fun app to use! I would like to see who viewed my videos, though.",https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=190156028,1822,requirement,positive,functional
49666,Instagram,530118883,Jiyesh,2017-05-08 0:00:00,India,10.19,3,Notifications with nothing!!,"I am sick of red sign of notifications on my application!! When i open it I find nothing !!! 
It's about everyday ! Plz help me to get out of it !!",https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=530118883,50049,bug report,negative,
14972,Instagram,476690007,teeeeenbean,2017-05-16 0:00:00,United States,10.21,3,Bring back chronological order,ðŸ â™€ï¸ ok,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=476690007,15125,requirement,neutral,functional
8856,Instagram,452018719,RedCreeper259,2017-06-10 0:00:00,United States,10.25,3,MAKE AN IPAD APP,There should be an iPad app. :(,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=452018719,9009,requirement,neutral,functional
17918,Instagram,520425564,TÃ˜P Crybaby,2017-05-01 0:00:00,United States,10.19,3,Can't upload videos,Every time I try to upload a video it says the connection is bad. Please fix this.,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=520425564,18071,bug report,neutral,
7553,Instagram,28118174,cyoumansblackwood,2017-06-16 0:00:00,United States,10.25,3,"Less advertising, please","Along with others, I agree that the advertising has become a little much. Take it back to the way it was ðŸ‘ŒðŸ»",https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=28118174,7706,requirement,neutral,non-functional
8114,Instagram,295745302,twdlover89,2017-06-13 0:00:00,United States,10.25,4,confused,i'm only writing this so i can change my bio but i really like igï¿½ï¿½ï¿½,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=295745302,8267,noise,,
39277,Instagram,38734642,BG-72,2017-06-26 0:00:00,Australia,10.26,4,UPDATE NEEDED,"So Instagram, great app and all. But this update had stuffed my account up- NOTHING LOADS or it takes like an hours to load a one minute video. Please fix this with a new update :)",https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=38734642,39576,bug report,positive,
8617,Instagram,553429026,Dude just listen.,2017-06-12 0:00:00,United States,10.25,4,"Good, but chill with the storage.","Srsly, I need this app, but I don't want constant notifications saying I have less storage.",https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=553429026,8770,requirement,positive,non-functional
9739,Instagram,27819485,AmandaHoop,2017-06-07 0:00:00,United States,10.22,4,PleaaSse,"Dear Creators of Instagram,
PleaaSse create an update that includes the ability to edit photos after you post them. Sometimes we just miss that one little thing that needs to be changed, cropped, slightly decropped, filtered, or added to if we are posting a photo collection.
Sincerely,
Me    (and probably a lot of other Instagram users)",https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=27819485,9892,requirement,neutral,functional
49152,Instagram,515548889,Qdir,2017-06-17 0:00:00,India,10.25,4,New follower's n Following list,Please make an update in which the person whom we follow recently show top of list...,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=515548889,49535,requirement,neutral,non-functional
7601,Instagram,26534019,C_Essington,2017-06-16 0:00:00,United States,10.25,4,Insta Rev.,"I love instagram mostly because I don't have Snapchat to take me away from it. The reason I give only 4 stars is because the new stories are cool but can get in the way and seem to ""copy"" Snapchat. The good thing is that instagram gives me a chance to express myself.ðŸ’•",https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=26534019,7754,other,positive,
49052,Instagram,282772344,bhupinderverma,2017-06-26 0:00:00,India,10.26,4,Crash,I just discovered a crash in app. In settings i was trying to change the language as i selected any language it gets crashed. I am using katest version in my iPhone 6 iOS 10.,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=282772344,49435,bug report,neutral,
4536,Instagram,397310735,ZachAttack05,2017-06-29 0:00:00,United States,10.27,4,Good,"Personally I have had no problems with the app except a few crashes, and that may have been my fault. I like this app and I think it's good, but I hate how it's trying to be Snapchat. With all of it's face filters and stories someone would not even know which one you are talking about. There is other things like if I'm in a call while using an app there is a bug that glitches the keyboard while messaging others. Otherwise I can't think of anything that makes my specifically dislike the app.",https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=397310735,4689,bug report,neutral,
15028,Instagram,101466059,roysepher,2017-05-16 0:00:00,United States,10.21,4,Algothrithmic feed is a bust,Bring the option to select between algorithmic feed and most recent then definitely five stars,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=101466059,15181,requirement,neutral,functional
10262,Instagram,85507398,lapelay,2017-06-05 0:00:00,United States,10.23,4,good,good,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=85507398,10415,other,positive,
13818,Instagram,521930063,Sfraser366,2017-05-21 0:00:00,United States,10.21,4,Just a suggestion,Because the app is all white themed it can be hard to withstand at night so maybe do a night mode where you can switch to a darker theme to enable use at night with less difficulty.,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=521930063,13971,requirement,neutral,functional
14217,Instagram,172490365,Risa Q,2017-05-19 0:00:00,United States,10.21,4,Community of Artists,I use it to share and look at art.,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=172490365,14370,other,neutral,
9519,Instagram,498332328,Polastar24,2017-06-08 0:00:00,United States,10.18,4,Great but...,One thing that would make the app perfect is if the views on your story would be in order by who viewed it. Would be Easier to see who saw it rather than having to scroll through the whole list every time.,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=498332328,9672,requirement,positive,non-functional
16775,Instagram,560822646,sissa lou,2017-05-07 0:00:00,United States,10.19,4,ðŸŸ½,I wish it were easier to share cool posts  but other than that it's pretty cool,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=560822646,16928,requirement,positive,functional
12498,Instagram,85099699,Raymond Khalife,2017-05-26 0:00:00,United States,10.22,4,Ipad,"Please have an App also for the IPad. Would love to see the postings on the big screen not just x1 thanks

Still requesting an Instagram App for iPad",https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=85099699,12651,requirement,neutral,functional
8475,Instagram,578495144,Wyatt Ramos,2017-06-12 0:00:00,United States,10.25,4,Great app,Great app but there is one problem. I randomly get invited to annoying group chats by people I don't even know.  This app also takes up a lot of battery.,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=578495144,8628,requirement,positive,non-functional
15353,Instagram,224514001,Anne61456,2017-05-15 0:00:00,United States,10.2,4,My review,I think this cool!!,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=224514001,15506,other,positive,
2041,Instagram,295118280,Ruffhouse878787,2017-05-21 0:00:00,Canada,10.21,4,Gud,Better get it,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=295118280,2186,other,positive,
1106,Instagram,346243071,Bkitty29,2017-06-25 0:00:00,Canada,10.26,4,PLEASE READ THIS INSTAGRAM,"I would really enjoy this app more if we could block certain accounts from our newsfeed. Sometimes you want to follow a colleague, but you really don't enjoy any of their posts, or maybe they just spam too much. So if we would be able to follow someone without seeing their posts (only when you go on their account) that would be great!!!!",https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=346243071,1251,requirement,neutral,functional
6676,Instagram,558300642,MZ.D.Luffy,2017-06-20 0:00:00,United States,10.24,4,Love It,Such a nice place to keep my memories !!!,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=558300642,6829,other,very positive,
49332,Instagram,352775080,CHINTU77,2017-06-04 0:00:00,India,10.23,4,Good,It was fun to be on Insta always,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=352775080,49715,other,very positive,
2016,Instagram,299030617,C.j my D.j,2017-05-21 0:00:00,Canada,10.21,4,Cool,When will Ontario Canada get face filters? Follow @toxic_strike,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=299030617,2161,requirement,positive,functional
10294,Instagram,26106823,Kenzie Cannarile,2017-06-05 0:00:00,United States,10.23,4,Love but bring chronological order back!,I check Instagram multiple times a day and love posting.. but wish they would bring back chronological order for our feeds! I hate missing out on some of my friends posts :( addicted to this app tho for sure,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=26106823,10447,requirement,positive,functional
2246,Instagram,476791403,ayee alexis,2017-05-14 0:00:00,Canada,10.2,4,Awesome but...,"Whenever I send an inage to a group chat it sends two and I have to delete one, please fix this.",https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=476791403,2391,bug report,positive,
10988,Instagram,575514905,pharaoh__mc,2017-06-02 0:00:00,United States,10.23,4,Great,If there was someway you could stop the face porn people from trying to add me that'd be great then I'll give it 5 stars,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=575514905,11141,requirement,positive,non-functional
2345,Instagram,359285349,beansy14,2017-05-10 0:00:00,Canada,10.19,4,Great fun and communication..,Everything works except the reposting...if you get that squared away you are seriously golden!,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=359285349,2490,requirement,very positive,functional
43595,Instagram,509387044,EllieLikesCookies,2017-05-22 0:00:00,United Kingdom,10.21,4,Fix this,Ok I loveee Instagram I'm on it almost everyday but I deleted it and it wont let me re download it ?? It's just this app that I can't re download and yes I have tried to re start my phone ig pls fix this,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=509387044,43978,bug report,very positive,
40050,Instagram,569429422,Willow L,2017-05-09 0:00:00,Australia,10.19,4,Aesthetic,Absolutely love the app. It's easy to use and has a gorgeous design that's pleasing on the eyes. It's great for both personal and business use.,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=569429422,40349,other,very positive,
17230,Instagram,204081485,Jennie the Jesus-lover,2017-05-05 0:00:00,United States,10.19,4,Still having notification troubled,Still having problems turning on notifications. I don't know if that has to do with not owning a device that a device that can update to iOS since I have an iPod touch 5 hopefully this can be figured out. Please do fix the notification turn on issue. Thank you.,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=204081485,17383,bug report,neutral,
8423,Instagram,159575242,Sheila816,2017-06-12 0:00:00,United States,10.25,4,I Mean It's A Social Media App,It gets the job done. The notifications are weird though. I keep getting the same notification over and over even though it happened in 2015/16 and I've seen it and commented. I don't know why it keeps telling me what I know,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=159575242,8576,bug report,neutral,
15502,Instagram,328074522,MalieLynn,2017-05-14 0:00:00,United States,10.2,5,One of my favorite apps,"Once you get the hang of things, it's really great to use. Sometimes you need a place to go to escape from  Facebook. This is the place to go -well if you have the right friends. Otherwise, ðŸ˜‚ it can become a place of photo vanity.",https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=328074522,15655,other,very positive,
44106,Instagram,43029095,Cuel knower,2017-05-06 0:00:00,United Kingdom,10.19,5,My favourite app,"Love instagram, the updates are a bit wobbly at first but isn't everyone",https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=43029095,44489,other,very positive,
14234,Instagram,497896831,Kxng zay,2017-05-19 0:00:00,United States,10.21,5,The best,Great app,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=497896831,14387,other,very positive,
9839,Instagram,155018539,Averderame,2017-06-06 0:00:00,United States,10.24,5,Easy & effective,I love the exposure that Instagram gives me.,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=155018539,9992,other,very positive,
11837,Instagram,478385363,Icall_shotgunn!!!,2017-05-29 0:00:00,United States,10.22,5,Great App,Good for sharing and text over sea.,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=478385363,11990,other,very positive,
9096,Instagram,492037121,Pipesquid,2017-06-09 0:00:00,United States,10.24,5,Hammers,Bangers,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=492037121,9249,other,positive,
13250,Instagram,101981561,Dopness,2017-05-23 0:00:00,United States,10.22,5,Great app..  but,So far I'm happy with the app. Nothing to crazy but good enough to satisfy me. Any chance you can make this landscape for a different viewing. It could work out. Just a thought.,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=101981561,13403,requirement,positive,functional
16731,Instagram,531406228,Dragon girl666,2017-05-07 0:00:00,United States,10.19,5,Instantgram,Instantgram is a fantastic app 10/10 would recommend,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=531406228,16884,other,very positive,
7325,Instagram,226675538,Anjoleen Johansson,2017-06-17 0:00:00,United States,10.25,5,I just deleted this app,"I just deleted this app because it no longer customized to posts I want to see. Instagram's attempt to show us things we 'want' has completely backfired. I see the same posts all day long and I have to search to see my friend's posts. The majority of my feed is advertisements or suggestions for people I should follow. All I really want to see is posts from my followers and that barely works anymore. And saving posts? A little creepy and totally unnecessary since I can view posts I've liked again with ease. Instagram, you tried too hard to make changes to an app that didn't need to be adjusted.",https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=226675538,7478,requirement,negative,functional
39788,Instagram,107288612,hazzajacjob,2017-05-27 0:00:00,Australia,10.22,5,Lorraine 46,Fab App!! I love it!!,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=107288612,40087,other,very positive,
14592,Instagram,39982867,Angela Bella,2017-05-17 0:00:00,United States,10.18,5,Awesome app for photo sharing!,Love this app! I enjoy sharing my photos with the rest of the world's instagrammers! ðŸŸ½,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=39982867,14745,other,very positive,
11217,Instagram,345465866,Coolgirlchels,2017-06-01 0:00:00,United States,10.23,5,This app,This is amazing but should be on the computer and doesn't anyone think it's just turning itself into Snapchat in a way?,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=345465866,11370,requirement,very positive,functional
1512,Instagram,102383489,Random127272,2017-06-09 0:00:00,Canada,10.24,5,Love it,"It is so cool I can stay in Touch with my friends! I think they should add a slow-mo feature! And More filters like and emoji one or the dog with the tung! And more.
And Ps.It has no adds for me,must be the way to set it up or they fixed it",https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=102383489,1657,requirement,very positive,functional
10497,Instagram,43881477,abr5473,2017-06-04 0:00:00,United States,10.22,5,ðŸ‘©t!,Instagram is a great way to connect with friends and familyï¿½,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=43881477,10650,other,positive,
12179,Instagram,500027438,Pikmin049,2017-05-28 0:00:00,United States,10.22,5,Lit,Hehehehehehehe,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=500027438,12332,other,positive,
7209,Instagram,490111431,alsa'adi,2017-06-18 0:00:00,United States,10.25,5,Good,Enjoy,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=490111431,7362,other,positive,
17495,Instagram,568009499,AshPanther,2017-05-03 0:00:00,United States,10.19,5,ðŸ½ðŸ½,ðŸ½ðŸ½,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=568009499,17648,noise,,
13722,Instagram,233286427,Iceman2000000,2017-05-21 0:00:00,United States,10.21,5,Instagram,Instagram is still wonderful to use. I just wish it had like mini games to play on there that you can play with your followers. And also a deactivation option for the app instead of going to the desktop version. *hint hint*,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=233286427,13875,requirement,positive,functional
2448,Instagram,104985586,Radically cool designer,2017-05-05 0:00:00,Canada,10.19,5,Instagram addict,Can't get enough of this app,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=104985586,2593,other,very positive,
16090,Instagram,563109095,mach3mom,2017-05-10 0:00:00,United States,10.2,5,mach3mom,Love this ap!,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=563109095,16243,other,very positive,
16696,Instagram,415602016,lets have fun instagram,2017-05-08 0:00:00,United States,10.19,5,I love instgram,It helps me text my friends and family,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=415602016,16849,other,very positive,
43888,Instagram,521687712,Knock father,2017-05-14 0:00:00,United Kingdom,10.2,5,AMAZING,Cool,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=521687712,44271,other,very positive,
8440,Instagram,244033437,Gjmichel,2017-06-12 0:00:00,United States,10.25,5,Follower:,"I love Instagram. I use it constantly. I have recommended it to all my friends. 
Instagram has thought me how to love Haiti and admire its beauty.",https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=244033437,8593,other,very positive,
15170,Instagram,421138160,Zevfutbol,2017-05-15 0:00:00,United States,10.2,5,Work,Instagram is giving me a platform to do what I love to help others. Thank you,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=421138160,15323,other,positive,
16785,Instagram,451736948,Mugs1754,2017-05-07 0:00:00,United States,10.19,5,Best App Ever,Love â¤ï¸,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=451736948,16938,other,very negative,
9726,Instagram,567694823,Amir1370,2017-06-07 0:00:00,United States,10.22,5,best,nice app,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=567694823,9879,other,very negative,
15285,Instagram,570858804,salar.baghersefat,2017-05-15 0:00:00,United States,10.2,5,The best app in world,Best,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=570858804,15438,other,very negative,
13865,Instagram,539849879,Wolfers â€¢.â€¢ XDD,2017-05-20 0:00:00,United States,10.21,5,AMAZING,INSAGRAM IS AMAZING,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=539849879,14018,other,very negative,
